Issue Type,Summary,Status,Updated,Created,Priority,Issue key,Issue id,Parent id,Reporter,Assignee,Resolved,Time Spent
Story,Frodo and Sam reach Mount Doom,Done,2021-12-19 12:22:00,2021-12-19 09:19:00,URGENT,LR-2037,325034,,Pippin Took,Gimli,2021-12-19 10:42:00,
Story,Aragorn claims the throne of Gondor,Done,2021-12-19 12:22:00,2021-12-19 10:10:00,High,LR-8799,325065,,Pippin Took,Saruman,2021-12-19 12:21:00,25200.0
Story,Helm's Deep is under siege,Done,2022-01-07 22:54:00,2021-12-19 09:55:00,ASAP,LR-6145,325059,,Gimli,Aragorn,2021-12-26 16:25:00,23400.0
Story,The fellowship forms in Rivendell,Done,2022-01-07 22:54:00,2021-12-19 09:52:00,ASAP,LR-6528,325056,,Gimli,Gandalf,2021-12-25 09:58:00,21600.0
Story,Eowyn defeats the Witch-king,Done,2022-01-07 22:54:00,2021-12-19 09:50:00,ASAP,LR-8085,325052,,Gimli,Samwise Gamgee,2021-12-20 09:45:00,21600.0
Story,Gollum's betrayal leads to chaos,Done,2022-01-07 22:54:00,2021-12-19 09:49:00,ASAP,LR-5183,325049,,Pippin Took,Samwise Gamgee,2021-12-23 09:52:00,21600.0
Task,The fellowship forms in Rivendell,Done,2022-01-07 22:54:00,2021-12-18 18:06:00,High,LR-4174,324874,,Pippin Took,Frodo Baggins,2021-12-25 11:04:00,600.0
Task,Gollum's betrayal leads to chaos,Done,2022-02-04 18:56:00,2021-12-18 15:57:00,High,LR-6717,324838,,Samwise Gamgee,Legolas,2022-02-04 18:56:00,54000.0
Code review,Gollum's betrayal leads to chaos,Done,2021-12-19 12:22:00,2021-12-18 14:33:00,High,LR-1730,324812,324737.0,Samwise Gamgee,Aragorn,2021-12-18 16:26:00,9000.0
Bug,The fall of Sauron at Barad-dûr,Done,2022-01-07 22:54:00,2021-12-18 13:35:00,Unspecified,LR-8384,324765,,Samwise Gamgee,Gandalf,2021-12-20 09:51:00,
Task,The One Ring has been found,Done,2021-12-20 09:38:00,2021-12-18 12:27:00,High,LR-8094,324749,,Samwise Gamgee,Aragorn,2021-12-19 11:35:00,15600.0
Story,The fellowship forms in Rivendell,Done,2021-12-19 12:22:00,2021-12-18 12:05:00,High,LR-9976,324737,,Gimli,Samwise Gamgee,2021-12-18 23:17:00,10800.0
Task,The Paths of the Dead are taken,Done,2022-01-24 13:48:00,2021-12-18 10:27:00,High,LR-9472,324697,,Frodo Baggins,Legolas,2022-01-24 13:21:00,9000.0
Code review,The Mines of Moria are breached,Done,2021-12-19 12:22:00,2021-12-17 17:19:00,High,LR-6426,324601,322940.0,Gimli,Gimli,2021-12-18 11:57:00,3600.0
Task,Eowyn defeats the Witch-king,Done,2021-12-19 12:22:00,2021-12-17 16:51:00,ASAP,LR-6658,324572,,Gandalf the Grey,Samwise Gamgee,2021-12-18 10:42:00,7200.0
Code review,Helm's Deep is under siege,Done,2021-12-18 09:59:00,2021-12-17 15:16:00,High,LR-1360,324533,324441.0,Boromir,Aragorn,2021-12-17 17:36:00,3600.0
Code review,The Paths of the Dead are taken,Done,2021-12-18 09:59:00,2021-12-17 12:56:00,High,LR-5090,324453,324295.0,Samwise Gamgee,Gimli,2021-12-17 14:08:00,9720.0
Story,The battle of Pelennor Fields,Done,2021-12-18 09:59:00,2021-12-17 12:31:00,High,LR-7914,324441,,Gimli,Gandalf,2021-12-17 23:12:00,9000.0
Code review,The Paths of the Dead are taken,Done,2021-12-19 12:22:00,2021-12-17 09:58:00,High,LR-8888,324393,322935.0,Legolas,Aragorn,2021-12-18 15:16:00,10800.0
Story,The fellowship forms in Rivendell,Done,2022-02-13 13:50:00,2021-12-17 09:57:00,High,LR-3766,324392,,Boromir,Saruman,2021-12-18 12:46:00,9000.0
Story,The battle of Pelennor Fields,Done,2022-02-10 08:38:00,2021-12-17 09:55:00,High,LR-9063,324391,,Boromir,Aragorn,2022-02-10 08:38:00,18000.0
Story,The fellowship forms in Rivendell,Done,2022-01-29 14:08:00,2021-12-17 09:55:00,High,LR-9220,324390,,Gimli,Frodo Baggins,2021-12-20 15:14:00,16200.0
Story,The fellowship forms in Rivendell,Done,2022-01-07 22:54:00,2021-12-17 09:54:00,High,LR-3219,324389,,Gandalf the Grey,Gandalf,2021-12-27 16:23:00,21600.0
Story,Frodo and Sam reach Mount Doom,Done,2022-02-13 14:42:00,2021-12-17 09:54:00,High,LR-8946,324388,,Gandalf the Grey,Saruman,2021-12-20 12:22:00,5400.0
Epic,Gandalf returns to Middle-Earth,Done,2022-02-05 17:17:00,2021-12-17 09:53:00,High,LR-1982,324387,,Legolas,Gimli,2022-02-05 17:17:00,12600.0
Story,Eowyn defeats the Witch-king,Done,2022-02-11 10:37:00,2021-12-17 09:53:00,High,LR-1830,324386,,Gimli,Gimli,2022-02-03 15:04:00,16200.0
Story,The Ents march on Isengard,Done,2022-01-30 17:03:00,2021-12-17 09:52:00,High,LR-6098,324385,,Pippin Took,Samwise Gamgee,2022-01-29 14:09:00,18000.0
Story,Aragorn claims the throne of Gondor,Done,2022-01-30 17:03:00,2021-12-17 09:52:00,High,LR-4124,324384,,Legolas,Gandalf,2022-01-29 14:09:00,2400.0
Code review,Helm's Deep is under siege,Done,2021-12-18 09:59:00,2021-12-16 21:11:00,Unspecified,LR-4337,324329,291911.0,Pippin Took,Frodo Baggins,2021-12-17 12:29:00,10200.0
Code review,The One Ring has been found,Done,2021-12-18 09:59:00,2021-12-16 18:25:00,ASAP,LR-4350,324305,307664.0,Aragorn,Frodo Baggins,2021-12-17 13:30:00,6300.0
Code review,Frodo and Sam reach Mount Doom,Done,2021-12-18 09:59:00,2021-12-16 16:32:00,High,LR-5308,324283,287678.0,Boromir,Gandalf,2021-12-16 17:19:00,3600.0
Story,The Shire is restored to peace,Done,2022-01-21 12:11:00,2021-12-16 11:58:00,Unspecified,LR-8287,324040,,Aragorn,Samwise Gamgee,2022-01-17 01:33:00,39600.0
Story,The Shire is restored to peace,Done,2022-01-21 12:11:00,2021-12-16 11:57:00,Unspecified,LR-9438,324037,,Boromir,Gimli,2022-01-19 23:03:00,55800.0
Story,Frodo and Sam reach Mount Doom,Done,2022-01-13 16:02:00,2021-12-16 11:57:00,Unspecified,LR-4418,324036,,Gimli,Samwise Gamgee,2022-01-08 10:37:00,
Task,The fellowship forms in Rivendell,Done,2022-01-22 17:51:00,2021-12-16 11:55:00,High,LR-4288,324035,,Gandalf the Grey,Saruman,2022-01-21 10:59:00,124200.0
Task,The fellowship forms in Rivendell,Done,2022-01-09 13:56:00,2021-12-16 11:51:00,High,LR-5463,324031,,Legolas,Frodo Baggins,2022-01-09 13:56:00,117900.0
Code review,The fellowship forms in Rivendell,Done,2021-12-18 09:59:00,2021-12-16 09:45:00,ASAP,LR-7674,323983,322810.0,Gandalf the Grey,Frodo Baggins,2021-12-16 18:07:00,5400.0
Story,The battle of Pelennor Fields,Done,2021-12-18 09:59:00,2021-12-16 09:39:00,High,LR-8061,323969,,Legolas,Samwise Gamgee,2021-12-16 15:34:00,12600.0
Story,The fellowship forms in Rivendell,Done,2021-12-16 09:39:00,2021-12-14 21:47:00,High,LR-8953,323779,,Frodo Baggins,Gandalf,2021-12-15 22:31:00,9000.0
Story,The Shire is restored to peace,Done,2021-12-16 09:39:00,2021-12-14 21:47:00,High,LR-4956,323778,,Boromir,Gandalf,2021-12-15 22:30:00,12600.0
Story,The Ents march on Isengard,Done,2021-12-16 09:39:00,2021-12-14 21:46:00,High,LR-1629,323777,,Gimli,Gimli,2021-12-15 22:30:00,12600.0
Story,Gandalf returns to Middle-Earth,Done,2022-01-21 12:11:00,2021-12-13 18:03:00,Unspecified,LR-6015,323627,,Legolas,Legolas,2022-01-14 15:17:00,
Task,Helm's Deep is under siege,Done,2021-12-18 09:59:00,2021-12-13 13:51:00,High,LR-3022,323563,,Gandalf the Grey,Gandalf,2021-12-16 10:16:00,
Task,Aragorn claims the throne of Gondor,Done,2022-01-15 15:56:00,2021-12-13 11:52:00,High,LR-2073,323449,,Boromir,Samwise Gamgee,2022-01-13 09:52:00,18000.0
Story,Saruman's betrayal is revealed,Done,2021-12-16 09:39:00,2021-12-12 23:07:00,Unspecified,LR-4102,323369,,Gandalf the Grey,Boromir,2021-12-12 23:08:00,5400.0
Code review,Saruman's betrayal is revealed,Done,2021-12-16 11:09:00,2021-12-12 15:27:00,Unspecified,LR-9860,323310,323304.0,Pippin Took,Legolas,2021-12-12 17:47:00,5280.0
Story,The Shire is restored to peace,Done,2022-01-07 22:54:00,2021-12-12 15:09:00,Unspecified,LR-3660,323304,,Boromir,Saruman,2021-12-24 08:44:00,600.0
Story,The Mines of Moria are breached,Done,2021-12-19 15:42:00,2021-12-12 13:30:00,ASAP,LR-2963,323260,,Gandalf the Grey,Aragorn,2021-12-18 13:33:00,48600.0
Story,Helm's Deep is under siege,Done,2021-12-18 09:59:00,2021-12-12 12:57:00,High,LR-8443,323248,,Aragorn,Boromir,2021-12-18 09:59:00,5400.0
Story,The Paths of the Dead are taken,Done,2022-01-07 22:54:00,2021-12-12 12:34:00,Unspecified,LR-8740,323242,,Samwise Gamgee,Frodo Baggins,2021-12-20 10:13:00,69300.0
Task,The Ents march on Isengard,Done,2022-01-07 22:54:00,2021-12-11 21:09:00,High,LR-3302,323096,,Frodo Baggins,Aragorn,2021-12-24 05:40:00,79200.0
Task,Frodo and Sam reach Mount Doom,Done,2021-12-16 11:37:00,2021-12-11 21:07:00,High,LR-9594,323095,,Legolas,Aragorn,2021-12-16 01:25:00,70200.0
Code review,Frodo and Sam reach Mount Doom,Done,2021-12-16 09:39:00,2021-12-11 18:15:00,ASAP,LR-4837,323072,322783.0,Gandalf the Grey,Gandalf,2021-12-12 09:54:00,3600.0
Code review,Eowyn defeats the Witch-king,Done,2021-12-16 09:39:00,2021-12-11 17:13:00,ASAP,LR-6664,323057,322785.0,Pippin Took,Samwise Gamgee,2021-12-12 22:20:00,3600.0
Code review,The battle of Pelennor Fields,Done,2022-01-07 22:54:00,2021-12-11 15:58:00,ASAP,LR-5279,323033,322651.0,Samwise Gamgee,Boromir,2021-12-24 13:40:00,36000.0
Story,Frodo and Sam reach Mount Doom,Done,2021-12-16 09:39:00,2021-12-11 14:29:00,URGENT,LR-2721,323011,,Legolas,Gimli,2021-12-12 16:21:00,1200.0
Sub-task,The battle of Pelennor Fields,Done,2022-01-07 22:54:00,2021-12-11 11:05:00,High,LR-1355,322945,317884.0,Legolas,Aragorn,2021-12-26 09:53:00,6120.0
Sub-task,Gandalf returns to Middle-Earth,Done,2022-01-07 22:54:00,2021-12-11 11:00:00,High,LR-6630,322943,317884.0,Pippin Took,Frodo Baggins,2021-12-25 11:15:00,34920.0
Task,Gandalf returns to Middle-Earth,Done,2022-01-07 22:54:00,2021-12-11 10:57:00,High,LR-9809,322940,,Gimli,Samwise Gamgee,2021-12-20 15:26:00,3600.0
Story,Helm's Deep is under siege,Done,2022-01-07 22:54:00,2021-12-11 10:42:00,High,LR-1651,322935,,Gandalf the Grey,Gandalf,2021-12-20 09:34:00,52200.0
Code review,The One Ring has been found,Done,2021-12-16 09:39:00,2021-12-11 09:43:00,High,LR-3783,322918,318258.0,Boromir,Legolas,2021-12-13 12:17:00,49500.0
Task,Helm's Deep is under siege,Done,2021-12-18 09:59:00,2021-12-10 15:29:00,ASAP,LR-2437,322783,,Gimli,Aragorn,2021-12-18 09:58:00,5400.0
Task,The fellowship forms in Rivendell,Done,2021-12-19 12:22:00,2021-12-10 15:41:00,ASAP,LR-9177,322785,,Gandalf the Grey,Legolas,2021-12-19 12:21:00,4200.0
Code review,The Ents march on Isengard,Done,2021-12-16 09:39:00,2021-12-10 14:56:00,ASAP,LR-1365,322759,303719.0,Aragorn,Legolas,2021-12-10 15:13:00,2700.0
Task,Gandalf returns to Middle-Earth,Done,2021-12-16 09:39:00,2021-12-10 13:13:00,Medium,LR-2385,322694,,Pippin Took,Gimli,2021-12-13 10:16:00,9000.0
Story,The fellowship forms in Rivendell,Done,2022-01-08 10:33:00,2021-12-10 12:55:00,High,LR-4290,322689,,Frodo Baggins,Gimli,2022-01-08 10:33:00,
Code review,The battle of Pelennor Fields,Done,2021-12-16 09:39:00,2021-12-10 11:57:00,High,LR-5918,322654,321282.0,Gimli,Boromir,2021-12-11 11:13:00,14400.0
Code review,The Paths of the Dead are taken,Done,2021-12-16 09:39:00,2021-12-10 10:00:00,Medium,LR-3064,322616,280867.0,Boromir,Samwise Gamgee,2021-12-11 16:34:00,9000.0
Story,The One Ring has been found,Done,2022-01-21 12:11:00,2021-12-10 05:25:00,High,LR-9007,322562,,Aragorn,Frodo Baggins,2022-01-16 00:38:00,84600.0
Story,The Shire is restored to peace,Done,2021-12-10 10:11:00,2021-12-10 05:19:00,High,LR-9638,322560,,Samwise Gamgee,Legolas,2021-12-10 05:20:00,1800.0
Story,Aragorn claims the throne of Gondor,Done,2021-12-10 10:11:00,2021-12-10 04:17:00,High,LR-4831,322557,,Samwise Gamgee,Frodo Baggins,2021-12-10 08:43:00,23400.0
Sub-task,The One Ring has been found,Done,2021-12-10 10:11:00,2021-12-10 02:05:00,Medium,LR-6747,322545,322539.0,Pippin Took,Gimli,2021-12-10 08:26:00,
Sub-task,The One Ring has been found,Done,2021-12-10 10:11:00,2021-12-10 02:05:00,Medium,LR-4192,322544,322539.0,Boromir,Aragorn,2021-12-10 08:26:00,
Sub-task,The Mines of Moria are breached,Done,2021-12-10 10:11:00,2021-12-10 02:04:00,Medium,LR-4666,322543,322539.0,Gandalf the Grey,Frodo Baggins,2021-12-10 08:05:00,
Sub-task,Eowyn defeats the Witch-king,Done,2021-12-10 10:11:00,2021-12-10 02:04:00,Medium,LR-1969,322542,322539.0,Pippin Took,Gandalf,2021-12-10 08:26:00,
Sub-task,Eowyn defeats the Witch-king,Done,2021-12-10 10:16:00,2021-12-10 02:03:00,Medium,LR-5317,322540,322539.0,Boromir,Saruman,2021-12-10 08:26:00,
Task,Eowyn defeats the Witch-king,Done,2022-01-07 21:50:00,2021-12-10 01:59:00,Medium,LR-1311,322539,,Legolas,Frodo Baggins,2021-12-10 08:25:00,
Code review,Eowyn defeats the Witch-king,Done,2021-12-16 09:39:00,2021-12-09 18:22:00,High,LR-3154,322371,321216.0,Aragorn,Samwise Gamgee,2021-12-10 11:57:00,1800.0
Code review,Gandalf returns to Middle-Earth,Done,2021-12-16 09:39:00,2021-12-09 16:33:00,ASAP,LR-8468,322320,320571.0,Legolas,Frodo Baggins,2021-12-10 21:13:00,3600.0
Story,The Mines of Moria are breached,Done,2022-01-21 12:11:00,2021-12-09 12:24:00,Medium,LR-9073,322100,,Aragorn,Aragorn,2022-01-21 12:10:00,20400.0
Bug,Gollum's betrayal leads to chaos,Done,2021-12-10 10:11:00,2021-12-06 11:25:00,URGENT,LR-1277,321457,,Legolas,Frodo Baggins,2021-12-09 17:51:00,
Code review,Eowyn defeats the Witch-king,Done,2021-12-10 10:11:00,2021-12-09 12:13:00,ASAP,LR-5348,322094,321679.0,Legolas,Gimli,2021-12-09 14:14:00,5400.0
Story,Aragorn claims the throne of Gondor,Done,2021-12-16 09:39:00,2021-12-09 11:55:00,High,LR-5717,322091,,Gimli,Gimli,2021-12-11 09:32:00,23400.0
Code review,Gollum's betrayal leads to chaos,Done,2021-12-10 10:10:00,2021-12-09 10:13:00,High,LR-7648,321998,314517.0,Pippin Took,Gimli,2021-12-09 16:56:00,2400.0
Story,The Paths of the Dead are taken,Done,2021-12-16 09:39:00,2021-12-06 18:06:00,ASAP,LR-7579,321679,,Aragorn,Gimli,2021-12-16 09:38:00,11160.0
Story,Gandalf returns to Middle-Earth,Done,2021-12-10 10:11:00,2021-12-06 16:03:00,Unspecified,LR-3290,321646,,Samwise Gamgee,Aragorn,2021-12-09 11:51:00,3600.0
Code review,Saruman's betrayal is revealed,Done,2021-12-10 10:11:00,2021-12-06 11:48:00,High,LR-3816,321471,320779.0,Pippin Took,Saruman,2021-12-06 15:15:00,12600.0
Bug,Aragorn claims the throne of Gondor,Done,2021-12-16 09:39:00,2021-12-05 17:44:00,ASAP,LR-6554,321284,,Pippin Took,Samwise Gamgee,2021-12-11 20:00:00,17640.0
Bug,The Mines of Moria are breached,Done,2021-12-18 09:59:00,2021-12-05 17:33:00,High,LR-5402,321282,,Boromir,Gandalf,2021-12-18 09:59:00,23400.0
Code review,Frodo and Sam reach Mount Doom,Done,2021-12-10 10:10:00,2021-12-05 17:26:00,High,LR-7127,321281,319836.0,Frodo Baggins,Saruman,2021-12-06 13:08:00,7200.0
Bug,The One Ring has been found,Done,2021-12-16 09:39:00,2021-12-05 15:26:00,High,LR-4478,321216,,Gandalf the Grey,Frodo Baggins,2021-12-11 11:14:00,36000.0
Story,Gandalf returns to Middle-Earth,Done,2021-12-10 10:11:00,2021-12-05 15:00:00,High,LR-8181,321199,,Pippin Took,Frodo Baggins,2021-12-09 11:47:00,30600.0
Code review,The One Ring has been found,Done,2021-12-10 10:10:00,2021-12-05 09:48:00,Medium,LR-9084,321042,302107.0,Gimli,Gandalf,2021-12-05 12:49:00,10800.0
Code review,Helm's Deep is under siege,Done,2021-12-10 10:11:00,2021-12-04 17:24:00,High,LR-5989,320929,320004.0,Pippin Took,Gandalf,2021-12-06 09:00:00,9000.0
Code review,Eowyn defeats the Witch-king,Done,2021-12-10 10:10:00,2021-12-04 16:23:00,High,LR-3261,320912,319943.0,Boromir,Gimli,2021-12-04 17:15:00,
Code review,Aragorn claims the throne of Gondor,Done,2021-12-10 10:10:00,2021-12-04 16:23:00,High,LR-5023,320911,319948.0,Gimli,Gandalf,2021-12-04 17:16:00,
Story,The Shire is restored to peace,Done,2021-12-10 10:11:00,2021-12-04 12:21:00,High,LR-9524,320779,,Legolas,Aragorn,2021-12-06 17:51:00,9000.0
Code review,The One Ring has been found,Done,2021-12-10 10:10:00,2021-12-04 11:31:00,High,LR-5065,320758,319242.0,Aragorn,Legolas,2021-12-04 12:43:00,4800.0
Task,The fall of Sauron at Barad-dûr,Done,2021-12-10 10:11:00,2021-12-03 21:46:00,High,LR-2897,320621,,Frodo Baggins,Aragorn,2021-12-09 10:53:00,
Epic,Saruman's betrayal is revealed,Done,2022-01-07 22:53:00,2020-11-22 12:35:00,ASAP,LR-9650,246373,,Frodo Baggins,Gimli,2021-12-23 08:13:00,
Bug,Aragorn claims the throne of Gondor,Done,2021-12-16 09:39:00,2021-12-03 18:15:00,ASAP,LR-7440,320571,,Gandalf the Grey,Aragorn,2021-12-11 16:27:00,12000.0
Code review,The fellowship forms in Rivendell,Done,2021-12-10 10:10:00,2021-12-03 17:32:00,High,LR-4926,320561,319842.0,Boromir,Legolas,2021-12-05 15:53:00,5400.0
Story,The fellowship forms in Rivendell,Done,2021-12-10 10:11:00,2021-12-03 17:31:00,High,LR-9741,320560,,Samwise Gamgee,Gandalf,2021-12-10 10:10:00,3600.0
Story,Helm's Deep is under siege,Done,2021-12-10 10:11:00,2021-12-03 14:13:00,Unspecified,LR-2847,320446,,Legolas,Samwise Gamgee,2021-12-10 08:44:00,14400.0
Code review,The fellowship forms in Rivendell,Done,2021-12-10 10:11:00,2021-12-03 14:29:00,High,LR-1220,320455,320257.0,Gimli,Legolas,2021-12-05 18:02:00,13200.0
Task,Eowyn defeats the Witch-king,Done,2021-12-10 10:11:00,2021-12-03 13:58:00,High,LR-7239,320440,,Samwise Gamgee,Legolas,2021-12-04 11:32:00,
Story,The Mines of Moria are breached,Done,2022-02-10 10:29:00,2021-12-03 12:45:00,High,LR-1166,320323,,Gimli,Samwise Gamgee,2022-02-06 17:18:00,76500.0
Story,The One Ring has been found,Done,2021-12-18 09:59:00,2021-11-29 14:36:00,High,LR-1786,319242,,Aragorn,Saruman,2021-12-18 09:59:00,25200.0
Task,The fall of Sauron at Barad-dûr,Done,2021-12-10 10:11:00,2021-12-03 11:20:00,High,LR-5635,320257,,Boromir,Legolas,2021-12-06 09:58:00,12600.0
Code review,The Paths of the Dead are taken,Done,2021-12-10 10:10:00,2021-12-02 17:13:00,High,LR-9470,320025,317908.0,Legolas,Gimli,2021-12-03 16:59:00,5400.0
Story,The Ents march on Isengard,Done,2021-12-10 10:10:00,2021-12-02 16:12:00,High,LR-4633,320004,,Pippin Took,Frodo Baggins,2021-12-06 14:03:00,14400.0
Story,Frodo and Sam reach Mount Doom,Done,2021-12-03 09:43:00,2021-12-02 16:03:00,High,LR-4804,319999,,Boromir,Saruman,2021-12-02 16:04:00,5400.0
Story,Gollum's betrayal leads to chaos,Done,2021-12-10 10:10:00,2021-12-02 15:03:00,High,LR-4494,319948,,Aragorn,Gimli,2021-12-04 17:29:00,1200.0
Story,Eowyn defeats the Witch-king,Done,2021-12-10 10:10:00,2021-12-02 15:03:00,High,LR-8858,319947,,Gimli,Gimli,2021-12-03 17:41:00,
Epic,The fellowship forms in Rivendell,Done,2022-01-07 22:54:00,2021-12-02 15:03:00,High,LR-9816,319946,,Legolas,Boromir,2021-12-20 10:22:00,
Story,Helm's Deep is under siege,Done,2021-12-10 10:10:00,2021-12-02 14:58:00,High,LR-8889,319943,,Gimli,Gandalf,2021-12-04 17:29:00,8700.0
Story,Gollum's betrayal leads to chaos,Done,2021-12-10 10:10:00,2021-12-02 14:58:00,High,LR-5543,319942,,Gandalf the Grey,Frodo Baggins,2021-12-03 17:43:00,
Epic,The Ents march on Isengard,Done,2022-01-07 22:54:00,2021-12-02 14:58:00,High,LR-7471,319941,,Gimli,Gimli,2021-12-20 10:21:00,
Task,Aragorn claims the throne of Gondor,Done,2022-02-04 09:28:00,2021-12-02 13:49:00,High,LR-7245,319906,,Samwise Gamgee,Gandalf,2022-02-03 15:04:00,1200.0
Story,Aragorn claims the throne of Gondor,Done,2022-02-07 19:26:00,2021-12-02 13:38:00,High,LR-3073,319895,,Pippin Took,Gandalf,2022-02-05 17:57:00,1800.0
Code review,Aragorn claims the throne of Gondor,Done,2021-12-03 09:42:00,2021-12-02 12:32:00,High,LR-3623,319865,317915.0,Boromir,Frodo Baggins,2021-12-02 15:32:00,13680.0
Code review,The battle of Pelennor Fields,Done,2021-12-10 10:10:00,2021-12-02 11:55:00,Medium,LR-4425,319853,312972.0,Aragorn,Aragorn,2021-12-04 16:53:00,13800.0
Story,Gollum's betrayal leads to chaos,Done,2021-12-10 10:10:00,2021-12-02 11:38:00,High,LR-6708,319842,,Frodo Baggins,Frodo Baggins,2021-12-05 16:15:00,7200.0
Story,Saruman's betrayal is revealed,Done,2021-12-03 09:43:00,2021-12-02 11:36:00,High,LR-7909,319840,,Gimli,Saruman,2021-12-02 15:17:00,14400.0
Story,Gollum's betrayal leads to chaos,Done,2022-01-07 22:54:00,2021-12-02 11:34:00,High,LR-6685,319839,,Boromir,Gandalf,2021-12-20 12:38:00,32400.0
Story,The Paths of the Dead are taken,Done,2021-12-10 10:10:00,2021-12-02 11:31:00,High,LR-5065,319836,,Aragorn,Legolas,2021-12-06 14:02:00,14400.0
Code review,Gandalf returns to Middle-Earth,Done,2021-12-10 10:10:00,2021-12-02 10:12:00,High,LR-1533,319799,317884.0,Gimli,Gimli,2021-12-04 16:00:00,8376.0
Code review,The Shire is restored to peace,Done,2021-12-03 09:42:00,2021-12-01 10:37:00,ASAP,LR-9360,319628,316802.0,Gandalf the Grey,Gandalf,2021-12-02 12:22:00,3960.0
Task,The battle of Pelennor Fields,Done,2021-12-10 10:10:00,2021-11-29 19:28:00,URGENT,LR-4485,319394,,Samwise Gamgee,Boromir,2021-12-09 06:36:00,283500.0
Task,Eowyn defeats the Witch-king,Done,2021-12-16 09:39:00,2021-11-29 16:59:00,ASAP,LR-7486,319274,,Aragorn,Gandalf,2021-12-10 15:15:00,7200.0
Code review,Eowyn defeats the Witch-king,Done,2021-12-01 10:42:00,2021-11-29 12:26:00,Unspecified,LR-4391,319194,315497.0,Frodo Baggins,Boromir,2021-11-29 14:11:00,5400.0
Task,Gandalf returns to Middle-Earth,Done,2021-12-10 10:10:00,2021-11-28 17:27:00,High,LR-9852,319023,,Gandalf the Grey,Saruman,2021-12-10 08:43:00,7200.0
Story,The Shire is restored to peace,Done,2022-01-21 12:11:00,2021-11-26 14:44:00,High,LR-6252,318258,,Gimli,Gandalf,2022-01-21 12:10:00,27000.0
Code review,Frodo and Sam reach Mount Doom,Done,2021-12-03 09:43:00,2021-11-28 14:45:00,High,LR-5024,318951,318866.0,Samwise Gamgee,Samwise Gamgee,2021-12-02 15:34:00,
Code review,Gandalf returns to Middle-Earth,Done,2021-12-03 09:42:00,2021-11-28 13:39:00,High,LR-1905,318905,318865.0,Frodo Baggins,Boromir,2021-12-02 15:06:00,
Story,The Shire is restored to peace,Done,2021-11-29 21:37:00,2021-11-28 13:18:00,High,LR-2190,318893,,Frodo Baggins,Aragorn,2021-11-29 11:25:00,1200.0
Story,The Paths of the Dead are taken,Done,2021-11-29 21:37:00,2021-11-28 13:17:00,High,LR-4928,318891,,Boromir,Gandalf,2021-11-29 11:57:00,1200.0
Story,Gollum's betrayal leads to chaos,Done,2021-11-29 21:37:00,2021-11-28 13:09:00,High,LR-1791,318884,,Legolas,Legolas,2021-11-29 11:57:00,1200.0
Story,The Mines of Moria are breached,Done,2021-11-29 21:37:00,2021-11-28 13:06:00,High,LR-6838,318882,,Boromir,Samwise Gamgee,2021-11-29 11:57:00,1200.0
Story,The Shire is restored to peace,Done,2021-11-29 21:37:00,2021-11-28 13:02:00,High,LR-2014,318879,,Gandalf the Grey,Boromir,2021-11-29 13:13:00,1200.0
Story,The fall of Sauron at Barad-dûr,Done,2021-11-29 21:37:00,2021-11-28 13:00:00,High,LR-5490,318877,,Gimli,Saruman,2021-11-29 11:53:00,1200.0
Story,The One Ring has been found,Done,2021-12-03 09:42:00,2021-11-28 12:39:00,High,LR-7569,318866,,Samwise Gamgee,Boromir,2021-12-02 16:17:00,2100.0
Story,Frodo and Sam reach Mount Doom,Done,2021-12-03 09:42:00,2021-11-28 12:37:00,High,LR-4557,318865,,Samwise Gamgee,Boromir,2021-12-02 15:15:00,1200.0
Story,The Paths of the Dead are taken,Done,2021-11-29 21:37:00,2021-11-28 12:33:00,High,LR-8095,318863,,Pippin Took,Legolas,2021-11-28 13:31:00,1200.0
Code review,The fall of Sauron at Barad-dûr,Done,2021-11-29 21:37:00,2021-11-28 12:18:00,ASAP,LR-6483,318858,289450.0,Boromir,Gimli,2021-11-29 16:41:00,
Code review,The battle of Pelennor Fields,Done,2021-12-10 10:11:00,2021-11-28 12:16:00,ASAP,LR-2470,318857,320004.0,Gandalf the Grey,Legolas,2021-12-03 16:37:00,
Code review,Eowyn defeats the Witch-king,Done,2021-11-29 21:37:00,2021-11-28 12:14:00,ASAP,LR-4349,318856,289450.0,Gandalf the Grey,Aragorn,2021-11-29 16:36:00,
Code review,The fall of Sauron at Barad-dûr,Done,2021-11-29 21:37:00,2021-11-28 12:13:00,ASAP,LR-7180,318854,289450.0,Gimli,Gandalf,2021-11-29 16:31:00,
Code review,The fellowship forms in Rivendell,Done,2021-11-29 21:37:00,2021-11-28 12:12:00,ASAP,LR-6657,318852,289450.0,Samwise Gamgee,Samwise Gamgee,2021-11-29 16:22:00,
Code review,Frodo and Sam reach Mount Doom,Done,2021-12-03 09:43:00,2021-11-28 12:10:00,ASAP,LR-3225,318850,319840.0,Samwise Gamgee,Saruman,2021-12-02 15:16:00,
Code review,Gollum's betrayal leads to chaos,Done,2021-12-10 10:10:00,2021-11-28 12:09:00,ASAP,LR-8607,318849,289450.0,Frodo Baggins,Boromir,2021-12-03 16:37:00,
Code review,Frodo and Sam reach Mount Doom,Done,2021-12-10 10:10:00,2021-11-28 12:08:00,ASAP,LR-2365,318848,289450.0,Legolas,Legolas,2021-12-03 16:37:00,
